G1	源自希伯來文；TDNT-1:1,*；字母｜➊希臘文第一個字母｜➋阿拉法。基督是阿拉法，是俄梅戛。意指祂是始，祂是終。	Α	A	al'-fah	
G2	源自希伯來文<a href='S:H175'>H175</a>；TDNT-1:3,1；陽性專有名詞｜亞倫：帶來光的人｜➊摩西的兄弟。是第一位以色列的祭司，以及祭司階級的首領。	Ἀαρών	Aarṓn	ah-ar-ohn'	
G3	源自希伯來文<a href='S:H11'>H11</a>；TDNT-1:4,1；陽性專有名詞｜亞巴頓：毀滅｜➊地獄使者首領的名字（<a href='B:730 9:11'>啓9:11</a>）	Ἀβαδδών	Abaddṓn	ab-ad-dohn'	
G4	源自<a href='S:G1'>G1</a>，否定的質詞/語助詞，與<a href='S:G922'>G922</a>；形容詞｜➊（輕）無重擔（<a href='B:540 11:9'>林後11:9</a>）	ἀβαρής	abarḗs	ab-ar-ace'	
G5	源自亞蘭文<a href='S:H2'>H2</a>；TDNT-1:5,1；名詞｜阿爸：父親｜➊這頭銜通常被使用在向上帝的禱告裡。在新約聖經中無論何時出現，一定會有希臘文的解釋。後來說希臘語的基督徒採用作為禮儀用詞。	Ἀββᾶ	Abbâ	ab-bah'	
G6	源自希伯來文<a href='S:H1893'>H1893</a>；TDNT-*,2；專有陽性名詞｜亞伯：虛空無常）｜➊亞當的第二個兒子，被他的兄弟該隱所殺	Ἄβελ	Ábel	ab'-el	
G7	源自希伯來文<a href='S:H29'>H29</a>；陽性專有名詞｜亞比雅：我父是雅威（耶和華）｜➊一個祭司，祭司家族的領袖同著大衛將祭司分為二十四班次，亞比雅是第八班。路加福音的撒迦利亞即屬於該班次（<a href='B:490 1:5'>路1:5</a>）｜➋猶大王羅波安的兒子與繼承者（<a href='B:470 1:7'>太1:7</a>）	Ἀβιά	Abiá	ab-ee-ah'	
G8	源自希伯來文<a href='S:H54'>H54</a>；陽性專有名詞｜亞比亞他：富裕的父｜➊大祭司的名字（<a href='B:480 2:26'>可2:26</a>）	Ἀβιαθάρ	Abiathár	ab-ee-ath'-ar	
G9	源自外來語，參<a href='S:G58'>G58</a>；專有地名｜亞比利尼：茂盛的草地｜➊亞比拉城四周的地區，位於前黎巴嫩山脈南端，大馬色西北方，由分封王呂撒聶治理（<a href='B:490 3:1'>路3:1</a>）	Ἀβιληνή	Abilēnḗ	ab-ee-lay-nay'	
G10	源自希伯來文<a href='S:H31'>H31</a>；專有人名｜亞比玉：我父是尊榮的｜➊耶穌家譜中所羅巴伯的後代（在<a href='B:130 8:3'>代上8:3</a>是便雅憫家的一員）	Ἀβιούδ	Abioúd	ab-ee-ood'	
G11	源自希伯來文<a href='S:H85'>H85</a>；TDNT-1:8,2；陽性專有名詞｜亞伯拉罕：眾人的父｜➊他拉的兒子，猶太民族的始祖	Ἀβραάμ	Abraám	ab-rah-am'	
G12	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，<a href='S:G1037'>G1037</a>的變異；TDNT-1:9,2；陰性名詞｜➊深淵➋（與死者或魔界相關的）他界，深淵	ἄβυσσος	ábyssos	ab'-us-sos	
G13	源自希伯來文參<a href='S:G2285'>G2285</a>；陽性專有名詞｜亞迦布：蝗蟲｜➊一位基督徒先知（<a href='B:510 11:28'>徒11:28</a>; <a href='B:510 21:10'>21:10</a>）	Ἄγαβος	Ágabos	ag'-ab-os	
G14	源自<a href='S:G18'>G18</a>與<a href='S:G2041'>G2041</a>；TDNT-1:17,3；動詞｜➊做善工，做好事（<a href='B:510 14:17'>徒14:17</a>；<a href='B:610 6:18'>提前6:18</a>）	ἀγαθοεργέω	agathoergéō	ag-ath-er-gheh'-o	
G15	源自<a href='S:G17'>G17</a>；TDNT-1:17,3；動詞｜➊行善，做些對別人有益的事，做對人有幫助的事｜➋作正事，作好公民	ἀγαθοποιέω	agathopoiéō	ag-ath-op-oy-eh'-o	
G16	源自<a href='S:G17'>G17</a>；TDNT-1:17,3；陰性名詞｜➊為善（<a href='B:670 4:19'>彼前4:19</a>）	ἀγαθοποιΐα	agathopoiḯa	ag-ath-op-oy-ee'-ah	
G17	源自<a href='S:G18'>G18</a>與<a href='S:G4160'>G4160</a>；TDNT-1:17,3；形容詞｜➊有益處的，做好事的，正直的（<a href='B:670 2:14'>彼前2:14</a>）	ἀγαθοποιός	agathopoiós	ag-ath-op-oy-os'	
G18	➊優質的ⓐ有用的，有益的ⓑ好東西，財物｜➋極有價值，優點的｜形容詞ⓐ形容神祇或人ⓑ形容東西，特別是其社會性的意義與價值｜實名詞ⓒ有好處的，有幫助的ⓓ好行為（<a href='B:500 5:29'>約5:29</a>）	ἀγαθός	agathós	ag-ath-os'	
G19	源自<a href='S:G18'>G18</a>；TDNT-1:18,3；陰性名詞｜➊良善➋（神的）慷慨（<a href='B:550 5:22'>加5:22</a>）	ἀγαθωσύνη	agathōsýnē	ag-ath-o-soo'-nay	
G20	源自<a href='S:G21'>G21</a>；TDNT-1:19,4；陰性名詞｜➊大喜樂	ἀγαλλίασις	agallíasis	ag-al-lee'-as-is	
G21	源自agan（多）與<a href='S:G242'>G242</a>；TDNT-1:19,*；動詞｜➊興高采烈，極度歡欣，歡喜快樂	ἀγαλλιάω	agalliáō	ag-al-lee-ah'-o	
G22	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，與<a href='S:G1062'>G1062</a>；形容詞｜➊未結婚的，獨身的	ἄγαμος	ágamos	ag'-am-os	
G23	源自agan（多） and achthos（哀傷，近似<a href='S:G43'>G43</a>的字根型）；動詞｜➊被激怒，憤慨，忿恨	ἀγανακτέω	aganaktéō	ag-an-ak-teh'-o	
G24	源自<a href='S:G23'>G23</a>；陰性名詞｜➊忿恨，惱怒（<a href='B:540 7:11'>林後7:11</a>）	ἀγανάκτησις	aganáktēsis	ag-an-ak'-tay-sis	
G25	可能源自agan（多）[或參<a href='S:G5368'>G5368</a>]；TDNT-1:21,5；動詞｜➊珍愛，喜歡，愛上ⓐ人的愛：①對人②對神ⓑ神的愛：①對人②對神（例：神對耶穌的愛）｜➋以……為樂｜➌證明自己的愛（<a href='B:500 13:1'>約13:1</a><a href='B:500 13:34'>,34</a>；<a href='B:690 3:18'>約壹3:18</a>）	ἀγαπάω	agapáō	ag-ap-ah'-o	
G26	源自<a href='S:G25'>G25</a>；TDNT-1:21,5；陰性名詞｜➊重視，喜歡，愛上ⓐ人的愛：①沒有指出愛的對象②明顯指出對象ⓑ神與基督的愛：①對人②神與基督之間｜➋愛筵	ἀγάπη	agápē	ag-ah'-pay	
G27	源自<a href='S:G25'>G25</a>；TDNT-1:21,5；形容詞｜➊唯一心愛的➋親愛的，珍惜的，寶貴的	ἀγαπητός	agapētós	ag-ap-ay-tos'	
G28	源自希伯來文<a href='S:H1904'>H1904</a>；TDNT-1:55,10；陰性專有名詞｜夏甲：逃離｜➊亞伯拉罕的妾，以實瑪利的母親	Ἄγαρ	Ágar	ag'-ar	
G29	源自外來語，參<a href='S:G104'>G104</a>；動詞｜➊徵用（強迫，逼使）	ἀγγαρεύω	angareúō	ang-ar-yew'-o	
G30	源自aggos（桶，參<a href='S:G43'>G43</a>的字根型）；中性名詞｜➊器皿，瓶子，容器	ἀγγεῖον	angeîon	ang-eye'-on	
G31	源自<a href='S:G32'>G32</a>；TDNT-1:56,10；陰性名詞｜➊信息（<a href='B:690 1:5'>約壹1:5</a>）｜➋指令，命令（<a href='B:690 3:11'>約壹3:11</a>）	ἀγγελία	angelía	ang-el-ee'-ah	
G32	源自aggello[可能源自<a href='S:G71'>G71</a>，參<a href='S:G34'>G34</a>]（捎來信息）；TDNT-1:74,12；陽性名詞｜➊天使	ἄγγελος	ángelos	ang'-el-os	
G33	<a href='S:G71'>G71</a>的祈使型；驚嘆詞｜➊來吧！	ἄγε	áge	ag'-eh	
G34	源自<a href='S:G71'>G71</a>（參<a href='S:G32'>G32</a>）；陰性名詞｜➊畜群	ἀγέλη	agélē	ag-el'-ay	
G35	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，與<a href='S:G1075'>G1075</a>；TDNT-1:665,114；形容詞｜➊無族譜的（<a href='B:650 7:3'>來7:3</a>）	ἀγενεαλόγητος	agenealógētos	ag-en-eh-al-og'-ay-tos	
G36	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，與<a href='S:G1085'>G1085</a>；形容詞｜➊身世平凡，低下，卑微（<a href='B:530 1:28'>林前1:28</a>）	ἀγενής	agenḗs	ag-en-ace'	
G37	源自<a href='S:G40'>G40</a>；TDNT-1:111,14；動詞｜➊歸為聖（為著禮儀目的將某些東西分別出來）｜➋成聖，歸為聖➌尊為聖➍使潔淨	ἁγιάζω	hagiázō	hag-ee-ad'-zo	
G38	源自<a href='S:G37'>G37</a>；TDNT-1:113,14；陽性名詞｜➊聖潔，成聖，歸聖	ἁγιασμός	hagiasmós	hag-ee-as-mos'	
G39	<a href='S:G40'>G40</a>的中性；形容詞｜➊形容詞：獻給神或歸聖於神，為神而用的ⓐ獻給神的，聖潔的，神聖的：①東西②人或靈體ⓑ聖潔：純潔，完全，於神配得的｜➋實名詞：聖潔的（人或物）ⓐ聖潔的：①分別為聖的祭肉（<a href='B:470 7:6'>太7:6</a>）②聖所（<a href='B:650 9:1'>來9:1</a>）ⓑ聖所ⓒ聖者：①神②基督ⓓ眾聖者：①天使②信徒	ἅγιον	hágion	hag'-ee-on	
G40	源自hagos（使人敬畏的事物）參<a href='S:G53'>G53</a>,<a href='S:G2282'>G2282</a>；TDNT-1:88,14；形容詞｜➊至為聖潔的事物，聖徒	ἅγιος	hágios	hag'-ee-os	
G41	源自<a href='S:G40'>G40</a>；TDNT-1:114,14；陰性名詞｜➊聖潔（<a href='B:650 12:10'>來12:10</a>）	ἁγιότης	hagiótēs	hag-ee-ot'-ace	
G42	源自<a href='S:G40'>G40</a>；TDNT-1:114,14；陰性名詞｜➊聖潔	ἁγιωσύνη	hagiōsýnē	hag-ee-o-soo'-nay	
G43	源自agkos；陰性名詞｜➊手臂（彎著接東西<a href='B:490 2:28'>路2:28</a>）	ἀγκάλη	ankálē	ang-kal'-ay	
G44	與<a href='S:G43'>G43</a>同；名詞｜➊魚鉤（<a href='B:470 17:27'>太17:27</a>）	ἄγκιστρον	ánkistron	ang'-kis-tron	
G45	與<a href='S:G43'>G43</a>同源；陰性名詞｜➊錨ⓐ字意的（<a href='B:510 27:29'>徒27:29</a><a href='B:510 27:40'>,40</a>）ⓑ喻意的（<a href='B:650 6:19'>來6:19</a>）	ἄγκυρα	ánkyra	ang'-koo-rah	
G46	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，與<a href='S:G1102'>G1102</a>同；形容詞｜➊未縮水的，未量過的，未加工的，新的（<a href='B:470 9:16'>太9:16</a>；<a href='B:480 2:21'>可2:21</a>）	ἄγναφος	ágnaphos	ag'-naf-os	
G47	源自<a href='S:G53'>G53</a>；TDNT-1:123,19；陰性名詞｜➊純潔，貞潔（<a href='B:610 4:12'>提前4:12</a>; <a href='B:610 5:2'>5:2</a>）	ἁγνεία	hagneía	hag-ni'-ah	
G48	源自<a href='S:G53'>G53</a>；TDNT-1:123,19；動詞｜➊（為禮儀目的）使潔淨（<a href='B:500 11:55'>約11:55</a>）➋（道德上）使純潔➌非經文用法（分別自己）獻上	ἁγνίζω	hagnízō	hag-nid'-zo	
G49	源自<a href='S:G48'>G48</a>；TDNT-1:124,19；陽性名詞｜➊潔淨（過程）（<a href='B:510 21:26'>徒21:26</a>）	ἁγνισμός	hagnismós	hag-nis-mos'	
G50	源自<a href='S:G1'>G1</a>，否定質詞/語助詞，與<a href='S:G3539'>G3539</a>；TDNT-1:115,18；動詞｜➊不知，眛於➋不看重，忽略➌不明白➍無意間犯罪（<a href='B:650 5:2'>來5:2</a>）	ἀγνοέω	agnoéō	ag-no-eh'-o	
G51	源自<a href='S:G50'>G50</a>；TDNT-1:115,18；中性名詞｜➊因無知或粗心所犯的罪（<a href='B:650 9:7'>來9:7</a>）	ἀγνόημα	agnóēma	ag-no'-ay-mah	
G52	源自<a href='S:G50'>G50</a>；TDNT-1:116,18；陰性名詞｜➊（缺乏資訊）無知｜➋（缺乏資訊而導致惡行的）無知，蒙昧，缺乏辨識	ἄγνοια	ágnoia	ag'-noy-ah	
