1	noun.com.NSF
2	noun.com.GSF
3	noun.pro.GSM
4	noun.pro.GSM
5	noun.com.GSM
6	noun.pro.GSM
7	noun.com.GSM
8	noun.pro.GSM
9	noun.pro.NSM
10	verb.3AAIS
11	det.ASM
12	noun.pro.ASM
13	conj
14	noun.pro.NSM
15	verb.3AAIS
16	det.ASM
17	noun.pro.ASM
18	conj
19	noun.pro.NSM
20	verb.3AAIS
21	det.ASM
22	noun.pro.ASM
23	conj
24	det.APM
25	noun.com.APM
26	pron.per.GSM
27	conj
28	noun.pro.NSM
29	verb.3AAIS
30	det.ASM
31	noun.pro.ASM
32	conj
33	det.ASM
34	noun.pro.ASM
35	prep
36	det.GSF
37	noun.pro.GSF
38	conj
39	noun.pro.NSM
40	verb.3AAIS
41	det.ASM
42	noun.pro.ASM
43	conj
44	noun.pro.NSM
45	verb.3AAIS
46	det.ASM
47	noun.pro.ASM
48	conj
49	noun.pro.NSM
50	verb.3AAIS
51	det.ASM
52	noun.pro.ASM
53	conj
54	noun.pro.NSM
55	verb.3AAIS
56	det.ASM
57	noun.pro.ASM
58	conj
59	noun.pro.NSM
60	verb.3AAIS
61	det.ASM
62	noun.pro.ASM
63	conj
64	noun.pro.NSM
65	verb.3AAIS
66	det.ASM
67	noun.pro.ASM
68	prep
69	det.GSF
70	noun.pro.GSF
71	conj
72	noun.pro.NSM
73	verb.3AAIS
74	det.ASM
75	noun.pro.ASM
76	prep
77	det.GSF
78	noun.pro.GSF
79	conj
80	noun.pro.NSM
81	verb.3AAIS
82	det.ASM
83	noun.pro.ASM
84	conj
85	noun.pro.NSM
86	verb.3AAIS
87	det.ASM
88	noun.pro.ASM
89	det.ASM
90	noun.com.ASM
91	conj
92	noun.pro.NSM
93	verb.3AAIS
94	det.ASM
95	noun.pro.ASM
96	prep
97	det.GSF
98	det.GSM
99	noun.pro.GSM
100	conj
101	noun.pro.NSM
102	verb.3AAIS
103	det.ASM
104	noun.pro.ASM
105	conj
